gender,age,degree,educational_program,year_of_study,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,academic_risk
male,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,rarely,average,hard to say,sometimes,moderately important,2-8 hours,personal motivation,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,no,full support,rarely,average,rather satisfied,sometimes,moderately important,9-15 hours,personal motivation,0
male,20-21,master,7m06105 computer science and engineering,1 year,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,slightly important,do not prepare,financial situation,1
female,20-21,master,7m06105 computer science and engineering,1 year,humanities,do not study,7-9 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,personal motivation,1
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,more than 10 hours,high,no,partial support,rarely,high,rather satisfied,never,slightly important,9-15 hours,quality of teaching,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2-8 hours,quality of teaching,0
male,22-23,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,often,important,9-15 hours,interest in the subject,0
male,22-23,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",full support,often,high,rather satisfied,rarely,not important,9-15 hours,family support,0
male,22-23,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,average,hard to say,sometimes,moderately important,2-8 hours,amount of self-study,0
male,22-23,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2-8 hours,personal motivation,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,less than 1 hour,amount of self-study,0
male,20-21,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,more than 10 hours,average,no,full support,sometimes,average,hard to say,rarely,important,2-8 hours,quality of teaching,0
female,20-21,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,rarely,slightly important,do not prepare,financial situation,0
female,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,do not study,less than 6 hours,low,"yes, full-time",no financial support,rarely,low,not satisfied at all,never,not important,do not prepare,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject,0
male,20-21,master,7m06105 computer science and engineering,1 year,computer sciences,less than 1 hour,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,less than 1 hour,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,more than 10 hours,high,"yes, part-time",partial support,sometimes,high,hard to say,rarely,important,2-8 hours,family support,0
male,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,less than 1 hour,7-9 hours,high,no,full support,sometimes,low,hard to say,sometimes,slightly important,2-8 hours,amount of self-study,0
